Method,Model,Class,Precision,Recall,F1-Score,Accuracy,Balanced Accuracy,ROC-AUC
AE-GAN,KNN,6,0.14285714285714285,0.13432835820895522,0.13846153846153847,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,7,0.1507537688442211,0.14925373134328357,0.15,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,8,0.11208791208791209,0.12718204488778054,0.1191588785046729,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,9,0.08181818181818182,0.08955223880597014,0.0855106888361045,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,10,0.08870967741935484,0.16417910447761194,0.11518324607329843,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,11,0.1722689075630252,0.20398009950248755,0.1867881548974943,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,12,0.21739130434782608,0.04975124378109453,0.08097165991902834,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,13,0.06932773109243698,0.1736842105263158,0.0990990990990991,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,14,0.05595667870036101,0.15422885572139303,0.08211920529801324,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,15,0.17,0.1691542288557214,0.16957605985037408,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,16,0.15422885572139303,0.15422885572139303,0.15422885572139303,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,17,0.058823529411764705,0.07142857142857142,0.06451612903225806,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,18,0.16417910447761194,0.16417910447761194,0.16417910447761194,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,19,0.17412935323383086,0.17412935323383086,0.17412935323383086,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,20,0.19047619047619047,0.19900497512437812,0.19464720194647203,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,21,0.16580310880829016,0.15920398009950248,0.16243654822335024,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,22,0.0,0.0,0.0,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,23,0.125,0.09782608695652174,0.10975609756097561,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,24,0.0,0.0,0.0,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,25,0.0,0.0,0.0,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,26,0.03571428571428571,0.037037037037037035,0.03636363636363636,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,27,0.0,0.0,0.0,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,28,0.0,0.0,0.0,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,29,0.0,0.0,0.0,0.18545667790646533,0.11613743749885265,
AE-GAN,Naive Bayes,0,0.3649921507064364,0.775,0.49626467449306294,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,1,0.07984790874524715,0.21,0.11570247933884298,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,2,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,3,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,4,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,5,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,6,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,7,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,8,0.0957983193277311,0.14214463840399003,0.1144578313253012,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,9,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,10,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,11,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,12,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,13,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,14,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,15,0.1691542288557214,0.1691542288557214,0.1691542288557214,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,16,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,17,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,18,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,19,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,20,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,21,0.09203980099502487,0.18407960199004975,0.12271973466003316,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,22,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,23,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,24,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,25,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,26,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,27,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,28,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,Naive Bayes,29,0.0,0.0,0.0,0.2976103210672922,0.04934594897499204,
AE-GAN,AdaBoost,0,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,1,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,2,0.12857142857142856,0.04477611940298507,0.06642066420664207,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,3,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,4,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,5,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,6,0.02040816326530612,0.05970149253731343,0.030418250950570342,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,7,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,8,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,9,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,10,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,11,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,12,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,13,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,14,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,15,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,16,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,17,0.007462686567164179,0.07142857142857142,0.013513513513513514,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,18,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,19,0.10199004975124377,0.20398009950248755,0.13598673300165837,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,20,0.05420267085624509,0.34328358208955223,0.09362279511533243,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,21,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,22,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,23,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,24,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,25,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,26,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,27,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,28,0.0,0.0,0.0,0.02067145579827005,0.05743899549869699,
AE-GAN,AdaBoost,29,0.0020670647680293983,1.0,0.00412560165024066,0.02067145579827005,0.05743899549869699,
AE-GAN,Extra Trees,0,0.41883859167809784,0.38166666666666665,0.39938957924569435,0.22460049846063626,0.11749389800673779,
AE-GAN,Extra Trees,1,0.19852941176470587,0.135,0.16071428571428573,0.22460049846063626,0.11749389800673779,
AE-GAN,Extra Trees,2,0.13962264150943396,0.18407960199004975,0.15879828326180256,0.22460049846063626,0.11749389800673779,
AE-GAN,Extra Trees,3,0.136,0.0845771144278607,0.10429447852760736,0.22460049846063626,0.11749389800673779,
AE-GAN,Extra Trees,4,0.12549019607843137,0.15920398009950248,0.14035087719298245,0.22460049846063626,0.11749389800673779,
AE-GAN,Extra Trees,5,0.16,0.15920398009950248,0.1596009975062344,0.22460049846063626,0.11749389800673779,
AE-GAN,Extra Trees,6,0.09387755102040816,0.11442786069651742,0.1031390134529148,0.22460049846063626,0.11749389800673779,
AE-GAN,Extra Trees,7,0.15422885572139303,0.15422885572139303,0.15422885572139303,0.22460049846063626,0.11749389800673779,
AE-GAN,Extra Trees,8,0.1654320987654321,0.16708229426433915,0.1662531017369727,0.22460049846063626,0.11749389800673779,
